tomato OrthoGene,arabidopsis OrthoGene,Orthogroup,tomato Symbol,arabidopsis Symbol
4081_0:00191e,3702_0:000ded,309705at3193,LOC101256557,AT1G19920
4081_0:001d9f,3702_0:000ded,309705at3193,LOC101256255,AT1G19920
4081_0:004759,3702_0:000ded,309705at3193,LOC101259979,AT1G19920
4081_0:00191e,3702_0:003363,309705at3193,LOC101256557,AT3G22890
4081_0:001d9f,3702_0:003363,309705at3193,LOC101256255,AT3G22890
4081_0:004759,3702_0:003363,309705at3193,LOC101259979,AT3G22890
4081_0:00191e,3702_0:005174,309705at3193,LOC101256557,AT4G14680
4081_0:001d9f,3702_0:005174,309705at3193,LOC101256255,AT4G14680
4081_0:004759,3702_0:005174,309705at3193,LOC101259979,AT4G14680
4081_0:00191e,3702_0:0058dc,309705at3193,LOC101256557,AT5G43780
4081_0:001d9f,3702_0:0058dc,309705at3193,LOC101256255,AT5G43780
4081_0:004759,3702_0:0058dc,309705at3193,LOC101259979,AT5G43780
4081_0:0045a5,3702_0:005383,309740at3193,LOC101254409,AT5G25310
4081_0:004e72,3702_0:005c38,310152at3193,LOC101260778,AT5G17840
4081_0:00340e,3702_0:000c2b,31018at3193,LOC101256005,AT1G22920
4081_0:0054b2,3702_0:000c2b,31018at3193,csn5,AT1G22920
4081_0:00340e,3702_0:001289,31018at3193,LOC101256005,AT1G71230
4081_0:0054b2,3702_0:001289,31018at3193,csn5,AT1G71230
4081_0:001bb7,3702_0:00026e,310451at3193,LOC101262902,AT1G12910
4081_0:0023cc,3702_0:00026e,310451at3193,LOC101260134,AT1G12910
4081_0:001bb7,3702_0:0032c0,310451at3193,LOC101262902,AT3G26640
4081_0:0023cc,3702_0:0032c0,310451at3193,LOC101260134,AT3G26640
4081_0:001bb7,3702_0:00600d,310451at3193,LOC101262902,AT5G24520
4081_0:0023cc,3702_0:00600d,310451at3193,LOC101260134,AT5G24520
4081_0:0001a6,3702_0:002504,31048at3193,LOC101245591,AT2G40360
4081_0:006396,3702_0:006ac8,31049at3193,ndhF,ndhF
4081_0:000273,3702_0:0005c6,31054at3193,LOC101251333,AT1G47980
4081_0:0005da,3702_0:0005c6,31054at3193,LOC101268813,AT1G47980
4081_0:0005f6,3702_0:0005c6,31054at3193,LOC101244907,AT1G47980
4081_0:002b6c,3702_0:0005c6,31054at3193,LOC101248580,AT1G47980
4081_0:004aea,3702_0:0005c6,31054at3193,LOC101252109,AT1G47980
4081_0:000273,3702_0:003c36,31054at3193,LOC101251333,AT3G62730
4081_0:0005da,3702_0:003c36,31054at3193,LOC101268813,AT3G62730
4081_0:0005f6,3702_0:003c36,31054at3193,LOC101244907,AT3G62730
4081_0:002b6c,3702_0:003c36,31054at3193,LOC101248580,AT3G62730
4081_0:004aea,3702_0:003c36,31054at3193,LOC101252109,AT3G62730
4081_0:0034ea,3702_0:002fa4,31074at3193,LOC101260946,AT3G54140
4081_0:003a65,3702_0:002fa4,31074at3193,LOC101254912,AT3G54140
4081_0:004ad2,3702_0:002fa4,31074at3193,LOC101252022,AT3G54140
4081_0:004af0,3702_0:002fa4,31074at3193,LOC109121034,AT3G54140
4081_0:004bfa,3702_0:002fa4,31074at3193,LOC101268606,AT3G54140
4081_0:0034ea,3702_0:005ab0,31074at3193,LOC101260946,AT5G01180
4081_0:003a65,3702_0:005ab0,31074at3193,LOC101254912,AT5G01180
4081_0:004ad2,3702_0:005ab0,31074at3193,LOC101252022,AT5G01180
4081_0:004af0,3702_0:005ab0,31074at3193,LOC109121034,AT5G01180
4081_0:004bfa,3702_0:005ab0,31074at3193,LOC101268606,AT5G01180
4081_0:0040c9,3702_0:004695,311000at3193,LOC101255013,AT4G31120
4081_0:0012e8,3702_0:006741,311263at3193,LOC101263174,AT5G40500
4081_0:001218,3702_0:004ff2,311301at3193,LOC101254050,AT4G21470
4081_0:00189e,3702_0:00596b,31139at3193,LOC101249713,AT5G54180
4081_0:00466e,3702_0:00297b,311413at3193,LOC101266965,AT2G35290
4081_0:005d4b,3702_0:001fa7,311433at3193,LOC101250370,AT2G05840
4081_0:005d4b,3702_0:0051fe,311433at3193,LOC101250370,AT4G33520
4081_0:0061ae,3702_0:002cec,31166at3193,LOC101262697,AT3G15620
4081_0:000207,3702_0:0011c0,311672at3193,LOC101262353,AT1G01600
4081_0:003258,3702_0:0011c0,311672at3193,LOC101259447,AT1G01600
4081_0:003f9e,3702_0:0011c0,311672at3193,LOC101254719,AT1G01600
4081_0:000207,3702_0:001323,311672at3193,LOC101262353,AT1G63710
4081_0:003258,3702_0:001323,311672at3193,LOC101259447,AT1G63710
4081_0:003f9e,3702_0:001323,311672at3193,LOC101254719,AT1G63710
4081_0:000207,3702_0:001fa8,311672at3193,LOC101262353,AT2G45970
4081_0:003258,3702_0:001fa8,311672at3193,LOC101259447,AT2G45970
4081_0:003f9e,3702_0:001fa8,311672at3193,LOC101254719,AT2G45970
4081_0:000207,3702_0:004e77,311672at3193,LOC101262353,AT4G00360
4081_0:003258,3702_0:004e77,311672at3193,LOC101259447,AT4G00360
4081_0:003f9e,3702_0:004e77,311672at3193,LOC101254719,AT4G00360
4081_0:000207,3702_0:006518,311672at3193,LOC101262353,AT5G58860
4081_0:003258,3702_0:006518,311672at3193,LOC101259447,AT5G58860
4081_0:003f9e,3702_0:006518,311672at3193,LOC101254719,AT5G58860
4081_0:00464d,3702_0:003d24,31167at3193,AT3G43920,AT3G43920
4081_0:0012e3,3702_0:001e73,311783at3193,LOC101261578,AT2G23560
4081_0:001353,3702_0:001e73,311783at3193,LOC101260990,AT2G23560
4081_0:0013c1,3702_0:001e73,311783at3193,AT3G15000,AT2G23560
4081_0:001f37,3702_0:001e73,311783at3193,LOC101259817,AT2G23560
4081_0:0012e3,3702_0:001fa6,311783at3193,LOC101261578,AT2G23620
4081_0:001353,3702_0:001fa6,311783at3193,LOC101260990,AT2G23620
4081_0:0013c1,3702_0:001fa6,311783at3193,AT3G15000,AT2G23620
4081_0:001f37,3702_0:001fa6,311783at3193,LOC101259817,AT2G23620
4081_0:0012e3,3702_0:0020aa,311783at3193,LOC101261578,AT2G23590
4081_0:001353,3702_0:0020aa,311783at3193,LOC101260990,AT2G23590
4081_0:0013c1,3702_0:0020aa,311783at3193,AT3G15000,AT2G23590
4081_0:001f37,3702_0:0020aa,311783at3193,LOC101259817,AT2G23590
4081_0:0012e3,3702_0:0025b1,311783at3193,LOC101261578,AT2G23550
4081_0:001353,3702_0:0025b1,311783at3193,LOC101260990,AT2G23550
4081_0:0013c1,3702_0:0025b1,311783at3193,AT3G15000,AT2G23550
4081_0:001f37,3702_0:0025b1,311783at3193,LOC101259817,AT2G23550
4081_0:0012e3,3702_0:002655,311783at3193,LOC101261578,AT2G23580
4081_0:001353,3702_0:002655,311783at3193,LOC101260990,AT2G23580
4081_0:0013c1,3702_0:002655,311783at3193,AT3G15000,AT2G23580
4081_0:001f37,3702_0:002655,311783at3193,LOC101259817,AT2G23580
4081_0:0012e3,3702_0:002923,311783at3193,LOC101261578,AT2G23570
4081_0:001353,3702_0:002923,311783at3193,LOC101260990,AT2G23570
4081_0:0013c1,3702_0:002923,311783at3193,AT3G15000,AT2G23570
4081_0:001f37,3702_0:002923,311783at3193,LOC101259817,AT2G23570
4081_0:0012e3,3702_0:002a22,311783at3193,LOC101261578,AT2G23600
4081_0:001353,3702_0:002a22,311783at3193,LOC101260990,AT2G23600
4081_0:0013c1,3702_0:002a22,311783at3193,AT3G15000,AT2G23600
4081_0:001f37,3702_0:002a22,311783at3193,LOC101259817,AT2G23600
4081_0:0012e3,3702_0:0050ba,311783at3193,LOC101261578,AT4G37150
4081_0:001353,3702_0:0050ba,311783at3193,LOC101260990,AT4G37150
4081_0:0013c1,3702_0:0050ba,311783at3193,AT3G15000,AT4G37150
4081_0:001f37,3702_0:0050ba,311783at3193,LOC101259817,AT4G37150
4081_0:00397d,3702_0:002e07,31179at3193,LOC101259950,AT3G43230
4081_0:003268,3702_0:0053e5,31201at3193,LOC101249827,AT5G04620
4081_0:0007d6,3702_0:003e0a,312032at3193,LOC101259887,AT3G05840
4081_0:0007d6,3702_0:00658a,312032at3193,LOC101259887,AT5G26751
4081_0:00019d,3702_0:0051bc,31218at3193,LOC101257023,AT4G38810
4081_0:00095c,3702_0:0046f1,31221at3193,LOC101265666,AT4G21090
4081_0:0054e8,3702_0:0046f1,31221at3193,LOC101246790,AT4G21090
4081_0:00095c,3702_0:004a0f,31221at3193,LOC101265666,AT4G05450
4081_0:0054e8,3702_0:004a0f,31221at3193,LOC101246790,AT4G05450
4081_0:000c47,3702_0:00413f,312256at3193,LOC101243649,AT3G18840
4081_0:00029e,3702_0:006892,312312at3193,LOC101267560,AT5G13530
4081_0:0009c5,3702_0:00059b,312369at3193,LOC101257704,AT1G02100
4081_0:0023b5,3702_0:003d7d,31242at3193,LOC101245639,AT3G20020
4081_0:002396,3702_0:000669,312636at3193,LOC101247815,AT1G10050
4081_0:005e71,3702_0:000669,312636at3193,LOC101253570,AT1G10050
4081_0:002396,3702_0:0017b7,312636at3193,LOC101247815,AT1G58370
4081_0:005e71,3702_0:0017b7,312636at3193,LOC101253570,AT1G58370
4081_0:002396,3702_0:004a2c,312636at3193,LOC101247815,AT4G08160
4081_0:005e71,3702_0:004a2c,312636at3193,LOC101253570,AT4G08160
4081_0:001d54,3702_0:00072d,31263at3193,LOC101261889,AT1G34300
4081_0:002524,3702_0:00072d,31263at3193,LOC101253476,AT1G34300
4081_0:00318c,3702_0:00072d,31263at3193,LOC101260054,AT1G34300
4081_0:003729,3702_0:00072d,31263at3193,LOC101253999,AT1G34300
4081_0:00406f,3702_0:00072d,31263at3193,LOC101257492,AT1G34300
4081_0:0057ff,3702_0:00072d,31263at3193,LOC101259394,AT1G34300
4081_0:00590d,3702_0:00072d,31263at3193,LOC109118986,AT1G34300
4081_0:001d54,3702_0:004ae1,31263at3193,LOC101261889,AT4G32300
4081_0:002524,3702_0:004ae1,31263at3193,LOC101253476,AT4G32300
4081_0:00318c,3702_0:004ae1,31263at3193,LOC101260054,AT4G32300
4081_0:003729,3702_0:004ae1,31263at3193,LOC101253999,AT4G32300
4081_0:00406f,3702_0:004ae1,31263at3193,LOC101257492,AT4G32300
4081_0:0057ff,3702_0:004ae1,31263at3193,LOC101259394,AT4G32300
4081_0:00590d,3702_0:004ae1,31263at3193,LOC109118986,AT4G32300
4081_0:001d54,3702_0:005ae9,31263at3193,LOC101261889,AT5G24080
4081_0:002524,3702_0:005ae9,31263at3193,LOC101253476,AT5G24080
4081_0:00318c,3702_0:005ae9,31263at3193,LOC101260054,AT5G24080
4081_0:003729,3702_0:005ae9,31263at3193,LOC101253999,AT5G24080
4081_0:00406f,3702_0:005ae9,31263at3193,LOC101257492,AT5G24080
4081_0:0057ff,3702_0:005ae9,31263at3193,LOC101259394,AT5G24080
4081_0:00590d,3702_0:005ae9,31263at3193,LOC109118986,AT5G24080
4081_0:001d54,3702_0:005fab,31263at3193,LOC101261889,AT5G20050
4081_0:002524,3702_0:005fab,31263at3193,LOC101253476,AT5G20050
4081_0:00318c,3702_0:005fab,31263at3193,LOC101260054,AT5G20050
4081_0:003729,3702_0:005fab,31263at3193,LOC101253999,AT5G20050
4081_0:00406f,3702_0:005fab,31263at3193,LOC101257492,AT5G20050
4081_0:0057ff,3702_0:005fab,31263at3193,LOC101259394,AT5G20050
4081_0:00590d,3702_0:005fab,31263at3193,LOC109118986,AT5G20050
4081_0:001d54,3702_0:006566,31263at3193,LOC101261889,AT5G35370
4081_0:002524,3702_0:006566,31263at3193,LOC101253476,AT5G35370
4081_0:00318c,3702_0:006566,31263at3193,LOC101260054,AT5G35370
4081_0:003729,3702_0:006566,31263at3193,LOC101253999,AT5G35370
4081_0:00406f,3702_0:006566,31263at3193,LOC101257492,AT5G35370
4081_0:0057ff,3702_0:006566,31263at3193,LOC101259394,AT5G35370
4081_0:00590d,3702_0:006566,31263at3193,LOC109118986,AT5G35370
4081_0:00522f,3702_0:001499,31281at3193,LOC101257607,AT1G11630
4081_0:00522f,3702_0:001726,31281at3193,LOC101257607,AT1G61870
4081_0:0003e1,3702_0:001193,313164at3193,LOC101257898,AT1G01230
4081_0:00419e,3702_0:001193,313164at3193,LOC101268781,AT1G01230
4081_0:005ca4,3702_0:001193,313164at3193,LOC101248754,AT1G01230
4081_0:0003e1,3702_0:00669a,313164at3193,LOC101257898,AT5G42000
4081_0:00419e,3702_0:00669a,313164at3193,LOC101268781,AT5G42000
4081_0:005ca4,3702_0:00669a,313164at3193,LOC101248754,AT5G42000
4081_0:0057cf,3702_0:00105f,31318at3193,LOC101258813,AT1G34270
4081_0:00160a,3702_0:00437f,313256at3193,GGP2,AT4G26850
4081_0:003756,3702_0:00437f,313256at3193,AT4G30530,AT4G26850
4081_0:00160a,3702_0:0060ab,313256at3193,GGP2,AT5G55120
4081_0:003756,3702_0:0060ab,313256at3193,AT4G30530,AT5G55120
4081_0:005ff0,3702_0:0004f4,313292at3193,LOC101252966,AT1G10010
4081_0:005ff0,3702_0:000718,313292at3193,LOC101252966,AT1G58360
4081_0:005ff0,3702_0:005377,313292at3193,LOC101252966,AT5G49630
4081_0:001ff4,3702_0:000102,313296at3193,E8,AT1G04380
4081_0:002175,3702_0:000102,313296at3193,LOC101250295,AT1G04380
4081_0:002331,3702_0:000102,313296at3193,LOC101250009,AT1G04380
4081_0:0046ab,3702_0:000102,313296at3193,LOC101244528,AT1G04380
4081_0:0046d7,3702_0:000102,313296at3193,LOC101246865,AT1G04380
4081_0:0046e5,3702_0:000102,313296at3193,AT2G05710,AT1G04380
4081_0:004714,3702_0:000102,313296at3193,LOC101245399,AT1G04380
4081_0:004749,3702_0:000102,313296at3193,LOC101244810,AT1G04380
4081_0:0048b2,3702_0:000102,313296at3193,LOC101245098,AT1G04380
4081_0:00490a,3702_0:000102,313296at3193,LOC101248415,AT1G04380
4081_0:004a8c,3702_0:000102,313296at3193,LOC101247464,AT1G04380
4081_0:004aa7,3702_0:000102,313296at3193,LOC101249481,AT1G04380
4081_0:004aac,3702_0:000102,313296at3193,LOC101245697,AT1G04380
4081_0:004b4c,3702_0:000102,313296at3193,LOC101259580,AT1G04380
4081_0:004b58,3702_0:000102,313296at3193,LOC101260178,AT1G04380
4081_0:004bd2,3702_0:000102,313296at3193,LOC101249199,AT1G04380
4081_0:004c7f,3702_0:000102,313296at3193,LOC101247162,AT1G04380
4081_0:004cbe,3702_0:000102,313296at3193,LOC101259885,AT1G04380
4081_0:004d1c,3702_0:000102,313296at3193,LOC101245991,AT1G04380
4081_0:00607b,3702_0:000102,313296at3193,ODD,AT1G04380
4081_0:001ff4,3702_0:000117,313296at3193,E8,AT1G06650
4081_0:002175,3702_0:000117,313296at3193,LOC101250295,AT1G06650
4081_0:002331,3702_0:000117,313296at3193,LOC101250009,AT1G06650
4081_0:0046ab,3702_0:000117,313296at3193,LOC101244528,AT1G06650
4081_0:0046d7,3702_0:000117,313296at3193,LOC101246865,AT1G06650
4081_0:0046e5,3702_0:000117,313296at3193,AT2G05710,AT1G06650
4081_0:004714,3702_0:000117,313296at3193,LOC101245399,AT1G06650
4081_0:004749,3702_0:000117,313296at3193,LOC101244810,AT1G06650
4081_0:0048b2,3702_0:000117,313296at3193,LOC101245098,AT1G06650
4081_0:00490a,3702_0:000117,313296at3193,LOC101248415,AT1G06650
4081_0:004a8c,3702_0:000117,313296at3193,LOC101247464,AT1G06650
4081_0:004aa7,3702_0:000117,313296at3193,LOC101249481,AT1G06650
4081_0:004aac,3702_0:000117,313296at3193,LOC101245697,AT1G06650
4081_0:004b4c,3702_0:000117,313296at3193,LOC101259580,AT1G06650
4081_0:004b58,3702_0:000117,313296at3193,LOC101260178,AT1G06650
4081_0:004bd2,3702_0:000117,313296at3193,LOC101249199,AT1G06650
4081_0:004c7f,3702_0:000117,313296at3193,LOC101247162,AT1G06650
4081_0:004cbe,3702_0:000117,313296at3193,LOC101259885,AT1G06650
4081_0:004d1c,3702_0:000117,313296at3193,LOC101245991,AT1G06650
4081_0:00607b,3702_0:000117,313296at3193,ODD,AT1G06650
4081_0:001ff4,3702_0:00028c,313296at3193,E8,AT1G06640
4081_0:002175,3702_0:00028c,313296at3193,LOC101250295,AT1G06640
4081_0:002331,3702_0:00028c,313296at3193,LOC101250009,AT1G06640
4081_0:0046ab,3702_0:00028c,313296at3193,LOC101244528,AT1G06640
4081_0:0046d7,3702_0:00028c,313296at3193,LOC101246865,AT1G06640
4081_0:0046e5,3702_0:00028c,313296at3193,AT2G05710,AT1G06640
4081_0:004714,3702_0:00028c,313296at3193,LOC101245399,AT1G06640
4081_0:004749,3702_0:00028c,313296at3193,LOC101244810,AT1G06640
4081_0:0048b2,3702_0:00028c,313296at3193,LOC101245098,AT1G06640
4081_0:00490a,3702_0:00028c,313296at3193,LOC101248415,AT1G06640
4081_0:004a8c,3702_0:00028c,313296at3193,LOC101247464,AT1G06640
4081_0:004aa7,3702_0:00028c,313296at3193,LOC101249481,AT1G06640
4081_0:004aac,3702_0:00028c,313296at3193,LOC101245697,AT1G06640
4081_0:004b4c,3702_0:00028c,313296at3193,LOC101259580,AT1G06640
4081_0:004b58,3702_0:00028c,313296at3193,LOC101260178,AT1G06640
4081_0:004bd2,3702_0:00028c,313296at3193,LOC101249199,AT1G06640
4081_0:004c7f,3702_0:00028c,313296at3193,LOC101247162,AT1G06640
4081_0:004cbe,3702_0:00028c,313296at3193,LOC101259885,AT1G06640
4081_0:004d1c,3702_0:00028c,313296at3193,LOC101245991,AT1G06640
4081_0:00607b,3702_0:00028c,313296at3193,ODD,AT1G06640
4081_0:001ff4,3702_0:00045f,313296at3193,E8,AT1G06645
4081_0:002175,3702_0:00045f,313296at3193,LOC101250295,AT1G06645
4081_0:002331,3702_0:00045f,313296at3193,LOC101250009,AT1G06645
4081_0:0046ab,3702_0:00045f,313296at3193,LOC101244528,AT1G06645
4081_0:0046d7,3702_0:00045f,313296at3193,LOC101246865,AT1G06645
4081_0:0046e5,3702_0:00045f,313296at3193,AT2G05710,AT1G06645
4081_0:004714,3702_0:00045f,313296at3193,LOC101245399,AT1G06645
4081_0:004749,3702_0:00045f,313296at3193,LOC101244810,AT1G06645
4081_0:0048b2,3702_0:00045f,313296at3193,LOC101245098,AT1G06645
4081_0:00490a,3702_0:00045f,313296at3193,LOC101248415,AT1G06645
4081_0:004a8c,3702_0:00045f,313296at3193,LOC101247464,AT1G06645
4081_0:004aa7,3702_0:00045f,313296at3193,LOC101249481,AT1G06645
4081_0:004aac,3702_0:00045f,313296at3193,LOC101245697,AT1G06645
4081_0:004b4c,3702_0:00045f,313296at3193,LOC101259580,AT1G06645
4081_0:004b58,3702_0:00045f,313296at3193,LOC101260178,AT1G06645
4081_0:004bd2,3702_0:00045f,313296at3193,LOC101249199,AT1G06645
4081_0:004c7f,3702_0:00045f,313296at3193,LOC101247162,AT1G06645
4081_0:004cbe,3702_0:00045f,313296at3193,LOC101259885,AT1G06645
4081_0:004d1c,3702_0:00045f,313296at3193,LOC101245991,AT1G06645
4081_0:00607b,3702_0:00045f,313296at3193,ODD,AT1G06645
4081_0:001ff4,3702_0:000dd9,313296at3193,E8,AT1G03410
4081_0:002175,3702_0:000dd9,313296at3193,LOC101250295,AT1G03410
4081_0:002331,3702_0:000dd9,313296at3193,LOC101250009,AT1G03410
4081_0:0046ab,3702_0:000dd9,313296at3193,LOC101244528,AT1G03410
4081_0:0046d7,3702_0:000dd9,313296at3193,LOC101246865,AT1G03410
4081_0:0046e5,3702_0:000dd9,313296at3193,AT2G05710,AT1G03410
4081_0:004714,3702_0:000dd9,313296at3193,LOC101245399,AT1G03410
4081_0:004749,3702_0:000dd9,313296at3193,LOC101244810,AT1G03410
4081_0:0048b2,3702_0:000dd9,313296at3193,LOC101245098,AT1G03410
4081_0:00490a,3702_0:000dd9,313296at3193,LOC101248415,AT1G03410
4081_0:004a8c,3702_0:000dd9,313296at3193,LOC101247464,AT1G03410
4081_0:004aa7,3702_0:000dd9,313296at3193,LOC101249481,AT1G03410
4081_0:004aac,3702_0:000dd9,313296at3193,LOC101245697,AT1G03410
4081_0:004b4c,3702_0:000dd9,313296at3193,LOC101259580,AT1G03410
4081_0:004b58,3702_0:000dd9,313296at3193,LOC101260178,AT1G03410
4081_0:004bd2,3702_0:000dd9,313296at3193,LOC101249199,AT1G03410
4081_0:004c7f,3702_0:000dd9,313296at3193,LOC101247162,AT1G03410
4081_0:004cbe,3702_0:000dd9,313296at3193,LOC101259885,AT1G03410
4081_0:004d1c,3702_0:000dd9,313296at3193,LOC101245991,AT1G03410
4081_0:00607b,3702_0:000dd9,313296at3193,ODD,AT1G03410
4081_0:001ff4,3702_0:000f20,313296at3193,E8,AT1G06620
4081_0:002175,3702_0:000f20,313296at3193,LOC101250295,AT1G06620
4081_0:002331,3702_0:000f20,313296at3193,LOC101250009,AT1G06620
4081_0:0046ab,3702_0:000f20,313296at3193,LOC101244528,AT1G06620
4081_0:0046d7,3702_0:000f20,313296at3193,LOC101246865,AT1G06620
4081_0:0046e5,3702_0:000f20,313296at3193,AT2G05710,AT1G06620
4081_0:004714,3702_0:000f20,313296at3193,LOC101245399,AT1G06620
4081_0:004749,3702_0:000f20,313296at3193,LOC101244810,AT1G06620
4081_0:0048b2,3702_0:000f20,313296at3193,LOC101245098,AT1G06620
4081_0:00490a,3702_0:000f20,313296at3193,LOC101248415,AT1G06620
4081_0:004a8c,3702_0:000f20,313296at3193,LOC101247464,AT1G06620
4081_0:004aa7,3702_0:000f20,313296at3193,LOC101249481,AT1G06620
4081_0:004aac,3702_0:000f20,313296at3193,LOC101245697,AT1G06620
4081_0:004b4c,3702_0:000f20,313296at3193,LOC101259580,AT1G06620
4081_0:004b58,3702_0:000f20,313296at3193,LOC101260178,AT1G06620
4081_0:004bd2,3702_0:000f20,313296at3193,LOC101249199,AT1G06620
4081_0:004c7f,3702_0:000f20,313296at3193,LOC101247162,AT1G06620
4081_0:004cbe,3702_0:000f20,313296at3193,LOC101259885,AT1G06620
4081_0:004d1c,3702_0:000f20,313296at3193,LOC101245991,AT1G06620
4081_0:00607b,3702_0:000f20,313296at3193,ODD,AT1G06620
4081_0:001ff4,3702_0:0010fa,313296at3193,E8,AT1G04350
4081_0:002175,3702_0:0010fa,313296at3193,LOC101250295,AT1G04350
4081_0:002331,3702_0:0010fa,313296at3193,LOC101250009,AT1G04350
4081_0:0046ab,3702_0:0010fa,313296at3193,LOC101244528,AT1G04350
4081_0:0046d7,3702_0:0010fa,313296at3193,LOC101246865,AT1G04350
4081_0:0046e5,3702_0:0010fa,313296at3193,AT2G05710,AT1G04350
4081_0:004714,3702_0:0010fa,313296at3193,LOC101245399,AT1G04350
4081_0:004749,3702_0:0010fa,313296at3193,LOC101244810,AT1G04350
4081_0:0048b2,3702_0:0010fa,313296at3193,LOC101245098,AT1G04350
4081_0:00490a,3702_0:0010fa,313296at3193,LOC101248415,AT1G04350
4081_0:004a8c,3702_0:0010fa,313296at3193,LOC101247464,AT1G04350
4081_0:004aa7,3702_0:0010fa,313296at3193,LOC101249481,AT1G04350
4081_0:004aac,3702_0:0010fa,313296at3193,LOC101245697,AT1G04350
4081_0:004b4c,3702_0:0010fa,313296at3193,LOC101259580,AT1G04350
4081_0:004b58,3702_0:0010fa,313296at3193,LOC101260178,AT1G04350
4081_0:004bd2,3702_0:0010fa,313296at3193,LOC101249199,AT1G04350
4081_0:004c7f,3702_0:0010fa,313296at3193,LOC101247162,AT1G04350
4081_0:004cbe,3702_0:0010fa,313296at3193,LOC101259885,AT1G04350
4081_0:004d1c,3702_0:0010fa,313296at3193,LOC101245991,AT1G04350
4081_0:00607b,3702_0:0010fa,313296at3193,ODD,AT1G04350
4081_0:001ff4,3702_0:001b6e,313296at3193,E8,AT1G03400
4081_0:002175,3702_0:001b6e,313296at3193,LOC101250295,AT1G03400
4081_0:002331,3702_0:001b6e,313296at3193,LOC101250009,AT1G03400
4081_0:0046ab,3702_0:001b6e,313296at3193,LOC101244528,AT1G03400
4081_0:0046d7,3702_0:001b6e,313296at3193,LOC101246865,AT1G03400
4081_0:0046e5,3702_0:001b6e,313296at3193,AT2G05710,AT1G03400
4081_0:004714,3702_0:001b6e,313296at3193,LOC101245399,AT1G03400
4081_0:004749,3702_0:001b6e,313296at3193,LOC101244810,AT1G03400
4081_0:0048b2,3702_0:001b6e,313296at3193,LOC101245098,AT1G03400
4081_0:00490a,3702_0:001b6e,313296at3193,LOC101248415,AT1G03400
4081_0:004a8c,3702_0:001b6e,313296at3193,LOC101247464,AT1G03400
4081_0:004aa7,3702_0:001b6e,313296at3193,LOC101249481,AT1G03400
4081_0:004aac,3702_0:001b6e,313296at3193,LOC101245697,AT1G03400
4081_0:004b4c,3702_0:001b6e,313296at3193,LOC101259580,AT1G03400
4081_0:004b58,3702_0:001b6e,313296at3193,LOC101260178,AT1G03400
4081_0:004bd2,3702_0:001b6e,313296at3193,LOC101249199,AT1G03400
4081_0:004c7f,3702_0:001b6e,313296at3193,LOC101247162,AT1G03400
4081_0:004cbe,3702_0:001b6e,313296at3193,LOC101259885,AT1G03400
4081_0:004d1c,3702_0:001b6e,313296at3193,LOC101245991,AT1G03400
4081_0:00607b,3702_0:001b6e,313296at3193,ODD,AT1G03400
4081_0:001ff4,3702_0:0029c6,313296at3193,E8,AT2G25450
4081_0:002175,3702_0:0029c6,313296at3193,LOC101250295,AT2G25450
4081_0:002331,3702_0:0029c6,313296at3193,LOC101250009,AT2G25450
4081_0:0046ab,3702_0:0029c6,313296at3193,LOC101244528,AT2G25450
4081_0:0046d7,3702_0:0029c6,313296at3193,LOC101246865,AT2G25450
4081_0:0046e5,3702_0:0029c6,313296at3193,AT2G05710,AT2G25450
4081_0:004714,3702_0:0029c6,313296at3193,LOC101245399,AT2G25450
4081_0:004749,3702_0:0029c6,313296at3193,LOC101244810,AT2G25450
4081_0:0048b2,3702_0:0029c6,313296at3193,LOC101245098,AT2G25450
4081_0:00490a,3702_0:0029c6,313296at3193,LOC101248415,AT2G25450
4081_0:004a8c,3702_0:0029c6,313296at3193,LOC101247464,AT2G25450
4081_0:004aa7,3702_0:0029c6,313296at3193,LOC101249481,AT2G25450
4081_0:004aac,3702_0:0029c6,313296at3193,LOC101245697,AT2G25450
4081_0:004b4c,3702_0:0029c6,313296at3193,LOC101259580,AT2G25450
4081_0:004b58,3702_0:0029c6,313296at3193,LOC101260178,AT2G25450
4081_0:004bd2,3702_0:0029c6,313296at3193,LOC101249199,AT2G25450
4081_0:004c7f,3702_0:0029c6,313296at3193,LOC101247162,AT2G25450
4081_0:004cbe,3702_0:0029c6,313296at3193,LOC101259885,AT2G25450
4081_0:004d1c,3702_0:0029c6,313296at3193,LOC101245991,AT2G25450
4081_0:00607b,3702_0:0029c6,313296at3193,ODD,AT2G25450
4081_0:001ff4,3702_0:002a1f,313296at3193,E8,AT2G30830
4081_0:002175,3702_0:002a1f,313296at3193,LOC101250295,AT2G30830
4081_0:002331,3702_0:002a1f,313296at3193,LOC101250009,AT2G30830
4081_0:0046ab,3702_0:002a1f,313296at3193,LOC101244528,AT2G30830
4081_0:0046d7,3702_0:002a1f,313296at3193,LOC101246865,AT2G30830
4081_0:0046e5,3702_0:002a1f,313296at3193,AT2G05710,AT2G30830
4081_0:004714,3702_0:002a1f,313296at3193,LOC101245399,AT2G30830
4081_0:004749,3702_0:002a1f,313296at3193,LOC101244810,AT2G30830
4081_0:0048b2,3702_0:002a1f,313296at3193,LOC101245098,AT2G30830
4081_0:00490a,3702_0:002a1f,313296at3193,LOC101248415,AT2G30830
4081_0:004a8c,3702_0:002a1f,313296at3193,LOC101247464,AT2G30830
4081_0:004aa7,3702_0:002a1f,313296at3193,LOC101249481,AT2G30830
